Model,Accuracy,Precision,Recall,F1 Score,Good Class Acc,Bad Class Acc
Hunyuan,0.5028451632225217,0.464793500338524,0.9455922865013774,0.6232410349523377,0.9455922865013774,0.16216216216216217
Qwen2.5,0.4944594189877209,0.46141268803139307,0.971763085399449,0.6257206208425721,0.971763085399449,0.1271860095389507
ERNIE4.0,0.47319556753519015,0.4518959573801316,0.9931129476584022,0.6211501184578936,0.9931129476584022,0.07313195548489666
Llama3.1,0.45971847858640313,0.44577942082563154,0.9965564738292011,0.6160068114091103,0.9965564738292011,0.04663487016428193
GLM4Plus,0.5452909418116376,0.48797736916548795,0.9530386740331491,0.6454630495790459,0.9530386740331491,0.23223753976670203
